CollectorVerbatim	Standarized_Collector
Hernández-R., Aracely	Hernández-R., Aracely
Hernández-R., J.	Hernández-R., J.
Hernández-Schmidt, M.	Hernández-Schmidt, M.
Hernández-Vergara, R.	Hernández-Vergara, R.
Hernández, A.	Hernández, A.
Hernández, G.	Hernández, G.
Hernández, J.	Hernández, J.
Hernández, L.	Hernández, L.
Hernández, M.	Hernández, M.
Hernández, N.	Hernández, N.
Hernández, Nicolás	Hernández, Nicolás
Herrera-C., N.	Herrera-C., N.
Herrera-Góez, E.	Herrera-Góez, E.
Herrera, R.N.	Herrera, R.N.
Hest, P.V.	Hest, P.V.
Higuera, W.F.	Higuera, W.F.
Hiller, H.	Hiller, H.
Hinestrosa, A.	Hinestrosa, A.
Hinestroza, S.	Hinestroza, S.
Hirschel, O.	Hirschel, O.
HL	HL
Hno. A. Pablo	Hno. A. Pablo
Hno. Abel Gregorio	Hno. Abel Gregorio
Hno. Abel Remigio	Hno. Abel Remigio
Hno. Alfonso Miguel	Hno. Alfonso Miguel
Hno. Antomino-G.	Hno. Antomino-G.
Hno. Antoniano Gabriel	Hno. Antoniano Gabriel
Hno. Antonino-G.	Hno. Antonino-G.
Hno. Antonio C.	Hno. Antonio C.
Hno. Antonio Camilo	Hno. Antonio Camilo
Hno. Antonio Carlos	Hno. Antonio Carlos
Hno. Antonio G.	Hno. Antonio G.
Hno. Antonio Gabriel	Hno. Antonio Gabriel
Hno. Apolinar María	Hno. Apolinar María
Hno. Apollinaire	Hno. Apollinaire
Hno. Ariste Joseph	Hno. Ariste Joseph
Hno. B. García	Hno. B. García
Hno. Carlos Justino	Hno. Carlos Justino
Hno. Daniel	Hno. Daniel
Hno. Emiliano	Hno. Emiliano
Hno. Fernando Pedro	Hno. Fernando Pedro
Hno. Gabriel	Hno. Gabriel
Hno. García B.	Hno. García B.
Hno. Geric María	Hno. Geric María
Hno. Gregorio	Hno. Gregorio
Hno. Idianel	Hno. Idianel
Hno. Idinael	Hno. Idinael
Hno. Idinael Enrique	Hno. Idinael Enrique
Hno. Isidodo Regis	Hno. Isidodo Regis
Hno. Isidro	Hno. Isidro
Hno. Ismael	Hno. Ismael
Hno. J. Regio	Hno. J. Regio
Hno. J. Regis	Hno. J. Regis
Hno. Javier	Hno. Javier
Hno. L. Javier	Hno. L. Javier
Hno. Laureano J.	Hno. Laureano J.
Hno. Laureano Javier	Hno. Laureano Javier
Hno. León Remigio	Hno. León Remigio
Hno. Luciano	Hno. Luciano
Hno. Pablo	Hno. Pablo
Hno. Pablo A.	Hno. Pablo A.
Hno. Porfidio Jaramillo	Hno. Porfidio Jaramillo
Hno. Regio	Hno. Regio
Hno. Remigio	Hno. Remigio
Hno. Reningio Abel	Hno. Reningio Abel
Hno. S. Jorge	Hno. S. Jorge
Hno. Salvador José	Hno. Salvador José
Hno. Silvano	Hno. Silvano
Hno. Tomás B.	Hno. Tomás B.
Holton, I.F.	Holton, I.F.
